year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,18,133.24352,1.1053708,51.11469088,1.510960517,80.98287148
2017,1,18,171.0658,0.6053707,62.06057528,1.38965546,103.1764999
2017,1,18,131.68542,0.31537077,48.28740322,1.321071994,78.33255876
2017,1,18,113.451225,0.20537075,16.87230285,1.800650407,15.0261565
2017,1,18,77.357704,0.31537077,1.569325339,1.956750855,0
2017,1,18,33.53118,0.67537075,1.649138075,2.278272592,0
2017,1,18,0.981473,0.81537074,1.821954285,2.490757729,0
2017,1,18,0,0.9153707,1.615009861,2.080899802,0
2017,1,18,0,1.7053708,1.4762107,2.223004741,0
2017,1,18,0,2.1053708,1.407130065,2.916383868,0
2017,1,18,0,2.3053708,1.02447,3.156577826,0
2017,1,18,0,2.415371,1.084746769,2.882249681,0
2017,1,19,0,2.5353708,1.134497705,3.144059386,0
2017,1,19,0,2.655371,1.101933773,3.522014512,0
2017,1,19,0,2.725371,1.357306537,3.561643028,0
2017,1,19,0,2.8053708,1.044514407,3.717097866,0
2017,1,19,0,2.8153708,1.030606667,3.762764439,0
2017,1,19,0,2.915371,1.038362257,4.00905152,0
2017,1,19,0,3.0253708,1.024789411,4.20429079,0
2017,1,19,0,3.225371,1.146553645,4.478500691,0
2017,1,19,0,3.5253708,7.433120446,4.819066657,1.967351232
